model	sample_id	image_id	t_star	t_bad
blip2	16	2	4	15
blip2	16	2	4	16
blip2	17	1	2	7
blip2	17	1	2	8
blip2	17	1	2	9
blip2	17	1	2	10
blip2	17	1	2	12
blip2	17	1	2	13
blip2	17	1	2	14
blip2	17	1	2	15
blip2	17	2	7	8
blip2	17	2	7	9
blip2	17	2	7	10
blip2	17	2	7	12
blip2	17	2	7	13
blip2	17	2	7	14
blip2	17	2	7	15
blip2	18	1	1	2
blip2	18	1	1	3
blip2	18	1	1	10
blip2	18	1	1	11
blip2	18	1	1	12
blip2	18	1	1	13
blip2	18	1	1	14
blip2	18	1	1	15
blip2	18	1	1	16
blip2	18	2	4	5
blip2	18	2	4	6
blip2	18	2	4	10
blip2	18	2	4	11
blip2	18	2	4	12
blip2	18	2	4	13
blip2	18	2	4	14
blip2	18	2	4	15
blip2	18	2	4	16
blip2	18	3	7	10
blip2	18	3	7	11
blip2	18	3	7	12
blip2	18	3	7	13
blip2	18	3	7	14
blip2	18	3	7	15
blip2	18	3	7	16
blip2	19	1	1	2
blip2	19	1	1	4
blip2	19	1	1	5
blip2	19	1	1	6
blip2	19	1	1	7
blip2	19	1	1	9
blip2	19	1	1	10
blip2	19	2	1	2
blip2	19	2	1	4
blip2	19	2	1	5
blip2	19	2	1	6
blip2	19	2	1	7
blip2	19	2	1	9
blip2	19	2	1	10
blip2	20	1	1	2
blip2	20	1	1	3
blip2	20	1	1	10
blip2	20	1	1	11
blip2	20	1	1	12
blip2	20	1	1	13
blip2	20	1	1	14
blip2	20	1	1	16
blip2	20	1	1	18
blip2	20	2	5	6
blip2	20	2	5	10
blip2	20	2	5	11
blip2	20	2	5	12
blip2	20	2	5	13
blip2	20	2	5	14
blip2	20	2	5	16
blip2	20	3	8	10
blip2	20	3	8	11
blip2	20	3	8	12
blip2	20	3	8	13
blip2	20	3	8	14
blip2	20	3	8	16
blip2	20	3	8	18
blip2	21	1	1	2
blip2	21	1	1	7
blip2	21	1	1	8
blip2	21	1	1	9
blip2	21	1	1	10
blip2	21	1	1	11
blip2	21	1	1	13
