model	sample_id	image_id	turn	delta	ok
blip2	43	1	10	9	0
blip2	43	1	11	10	0
blip2	43	1	12	11	0
blip2	43	1	13	12	0
blip2	43	1	14	13	1
blip2	43	1	15	14	0
blip2	43	1	16	15	0
blip2	44	1	1	0	0
blip2	44	1	2	1	0
blip2	44	1	3	2	0
blip2	44	1	4	3	0
blip2	44	1	5	4	0
blip2	44	1	6	5	1
blip2	44	1	7	6	0
blip2	44	1	8	7	0
blip2	44	1	9	8	0
blip2	44	1	10	9	1
blip2	45	1	1	0	1
blip2	45	1	2	1	1
blip2	45	1	3	2	1
blip2	45	1	4	3	1
blip2	45	1	5	4	0
blip2	45	1	6	5	0
blip2	45	1	7	6	1
blip2	45	1	8	7	1
blip2	45	1	9	8	0
blip2	45	1	10	9	0
blip2	45	1	11	10	0
blip2	45	1	12	11	0
blip2	45	1	13	12	0
blip2	46	1	1	0	0
blip2	46	1	2	1	0
blip2	46	1	3	2	0
blip2	46	1	4	3	0
blip2	46	1	5	4	0
blip2	47	1	1	0	0
blip2	47	1	2	1	0
blip2	47	1	3	2	0
blip2	47	1	4	3	0
blip2	47	1	5	4	0
blip2	47	1	6	5	0
blip2	47	1	7	6	1
blip2	47	1	8	7	0
blip2	47	1	9	8	0
blip2	47	1	10	9	0
blip2	48	1	1	0	0
blip2	48	1	2	1	1
blip2	48	1	3	2	0
blip2	48	1	4	3	0
blip2	48	1	5	4	1
blip2	48	1	6	5	0
blip2	48	1	7	6	0
blip2	48	1	8	7	0
blip2	48	1	9	8	0
blip2	48	1	10	9	0
blip2	48	1	11	10	0
blip2	48	1	12	11	0
blip2	48	1	13	12	0
blip2	48	1	14	13	0
blip2	48	1	15	14	0
blip2	48	1	16	15	0
blip2	48	1	17	16	1
blip2	48	1	18	17	0
blip2	48	1	19	18	0
blip2	49	1	1	0	1
blip2	49	1	2	1	0
blip2	49	1	3	2	1
blip2	49	1	4	3	0
blip2	49	1	5	4	0
blip2	49	1	6	5	0
blip2	49	1	7	6	0
blip2	49	1	8	7	0
blip2	49	1	9	8	0
blip2	49	1	10	9	0
blip2	49	1	11	10	0
blip2	49	1	12	11	1
blip2	49	1	13	12	0
blip2	49	1	14	13	0
blip2	49	1	15	14	0
blip2	49	1	16	15	0
blip2	49	1	17	16	0
blip2	49	1	18	17	0
blip2	49	1	19	18	0
blip2	49	1	20	19	0
blip2	50	1	1	0	0
blip2	50	1	2	1	0
blip2	50	1	3	2	0
blip2	50	1	4	3	0
blip2	50	1	5	4	1
blip2	50	1	6	5	0
blip2	50	1	7	6	0
blip2	50	1	8	7	0
blip2	50	1	9	8	0
blip2	50	1	10	9	1
blip2	51	1	1	0	0
blip2	51	1	2	1	0
blip2	51	1	3	2	0
blip2	51	1	4	3	1
blip2	51	1	5	4	0
blip2	51	1	6	5	1
blip2	51	1	7	6	0
blip2	51	1	8	7	0
blip2	51	1	9	8	0
blip2	51	1	10	9	0
blip2	51	1	11	10	0
blip2	51	1	12	11	0
blip2	51	1	13	12	1
blip2	51	1	14	13	0
blip2	51	1	15	14	0
blip2	51	1	16	15	0
blip2	52	1	1	0	1
blip2	52	1	2	1	1
blip2	52	1	3	2	0
blip2	52	1	4	3	1
blip2	52	1	5	4	0
blip2	52	1	6	5	1
blip2	52	1	7	6	0
blip2	52	1	8	7	0
blip2	52	1	9	8	1
blip2	52	1	10	9	1
blip2	52	1	11	10	0
blip2	52	1	12	11	0
blip2	52	1	13	12	0
blip2	52	1	14	13	0
blip2	53	1	1	0	0
blip2	53	1	2	1	0
blip2	53	1	3	2	1
blip2	53	1	4	3	0
blip2	53	1	5	4	0
blip2	53	1	6	5	1
blip2	53	1	7	6	0
blip2	53	1	8	7	0
blip2	53	1	9	8	1
blip2	53	1	10	9	1
blip2	54	1	1	0	0
blip2	54	1	2	1	0
blip2	54	1	3	2	0
blip2	54	1	4	3	0
blip2	54	1	5	4	0
blip2	54	1	6	5	0
blip2	54	1	7	6	0
blip2	54	1	8	7	0
blip2	54	1	9	8	0
blip2	54	1	10	9	0
blip2	54	1	11	10	0
blip2	54	1	12	11	1
blip2	54	1	13	12	0
blip2	54	1	14	13	1
blip2	54	1	15	14	0
blip2	55	1	1	0	0
blip2	55	1	2	1	1
blip2	55	1	3	2	0
blip2	55	1	4	3	1
blip2	55	1	5	4	1
blip2	55	1	6	5	0
blip2	55	1	7	6	0
blip2	55	1	8	7	1
blip2	55	1	9	8	0
blip2	55	1	10	9	0
blip2	55	1	11	10	0
blip2	55	1	12	11	0
blip2	55	1	13	12	0
